Presion,Temperatura,v,u,h,s,,
2000,1300,0.36308,4684.2,5410.3,9.1384,,
2500,223.95,0.07995,2602.1,2801.9,6.2558,,
2500,225,0.08026,2604.8,2805.5,6.2629,,
2500,250,0.08705,2663.3,2880.9,6.4107,,
2500,300,0.09894,2762.2,3009.6,6.6459,,
2500,350,0.10979,2852.5,3127,6.8424,,
2500,400,0.12012,2939.8,3240.1,7.017,,
2500,450,0.13015,3026.2,3351.6,7.1768,,
2500,500,0.13999,3112.8,3462.8,7.3254,,
2500,600,0.15931,3288.5,3686.8,7.5979,,
2500,700,0.17835,3469.3,3915.2,7.8455,,
2500,800,0.19722,3656.2,4149.2,8.0744,,
2500,900,0.21597,3849.4,4389.3,8.2882,,
2500,1000,0.23466,4049,4635.6,8.4897,,
2500,1100,0.2533,4254.7,4887.9,8.6804,,
2500,1200,0.2719,4466.3,5146,8.8618,,
2500,1300,0.29048,4683.4,5409.5,9.0349,,
3000,233.85,0.06667,2603.2,2803.2,6.1856,,
3000,250,0.07063,2644.7,2856.5,6.2893,,
3000,300,0.08118,2750.8,2994.3,6.5412,,
3000,350,0.09056,2844.4,3116.1,6.745,,
3000,400,0.09938,2933.6,3231.7,6.9235,,
3000,450,0.10789,3021.2,3344.9,7.0856,,
3000,500,0.1162,3108.6,3457.2,7.2359,,
3000,600,0.13245,3285.5,3682.8,7.5103,,
3000,700,0.14841,3467,3912.2,7.759,,
3000,800,0.1642,3654.3,4146.9,7.9885,,
3000,900,0.17988,3847.9,4387.5,8.2028,,
3000,1000,0.19549,4047.7,4634.2,8.4045,,
3000,1100,0.21105,4253.6,4886.7,8.5955,,
3000,1200,0.22658,4465.3,5145.1,8.7771,,
3000,1300,0.24207,4682.6,5408.8,8.9502,,
3500,242.56,0.05706,2603,2802.7,6.1244,,
3500,250,0.05876,2624,2829.7,6.1764,,
3500,300,0.06845,2738.8,2978.4,6.4484,,
3500,350,0.0768,2836,3104.9,6.6601,,
3500,400,0.08456,2927.2,3223.2,6.8428,,
3500,450,0.09198,3016.1,3338.1,7.0074,,
3500,500,0.09919,3104.5,3451.7,7.1593,,
3500,600,0.11325,3282.5,3678.9,7.4357,,
3500,700,0.12702,3464.7,3909.3,7.6855,,
3500,800,0.14061,3652.5,4144.6,7.9156,,
3500,900,0.1541,3846.4,4385.7,8.1304,,
3500,1000,0.16751,4046.4,4632.7,8.3324,,
3500,1100,0.18087,4252.5,4885.6,8.5236,,
3500,1200,0.1942,4464.4,5144.1,8.7053,,
